,0,1,2,3,4,5,6,7,8,9,10
contig_20803_4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
contig_20801_9,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0
contig_20801_8,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
contig_20801_5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
contig_20801_4,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0
contig_20801_7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
contig_20801_6,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_20801_1,4.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_20801_3,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
contig_20801_2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_21160_1,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0
contig_21160_2,3.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
contig_21160_3,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0
contig_20807_9,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
contig_20807_8,0.0,1.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,1.0
contig_20807_7,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0
contig_20807_6,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
contig_20807_5,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0
contig_20807_4,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0
contig_20807_3,0.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0
contig_20807_2,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0
contig_20807_1,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0
contig_21208_1,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0
contig_21208_2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_20846_2,0.0,0.0,8.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0
contig_20846_3,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
contig_20846_1,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0
contig_20846_6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0
contig_20846_4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0
