,0,1,2,3
contig_18122_14,0.0,3.0,0.0,0.0
contig_18122_15,8.0,2.0,1.0,5.0
contig_18122_17,0.0,0.0,0.0,0.0
contig_18106_1,0.0,2.0,0.0,0.0
contig_18106_2,30.0,2.0,0.0,0.0
contig_18106_3,12.0,3.0,0.0,4.0
contig_18106_4,2.0,3.0,0.0,2.0
contig_18106_5,0.0,3.0,0.0,2.0
contig_18106_6,0.0,3.0,0.0,1.0
contig_18106_7,2.0,3.0,1.0,1.0
contig_18106_8,0.0,0.0,0.0,0.0
contig_18106_9,0.0,0.0,0.0,0.0
contig_18154_4,0.0,0.0,0.0,0.0
contig_18139_1,0.0,2.0,0.0,0.0
contig_18226_1,4.0,3.0,0.0,0.0
contig_18226_2,0.0,4.0,2.0,0.0
contig_18139_6,0.0,3.0,0.0,0.0
contig_18154_6,0.0,2.0,0.0,0.0
contig_18139_7,0.0,2.0,0.0,0.0
contig_18220_5,0.0,1.0,8.0,0.0
contig_18220_4,0.0,1.0,6.0,0.0
contig_18220_3,0.0,1.0,16.0,0.0
contig_18220_2,0.0,1.0,6.0,0.0
contig_18220_1,0.0,1.0,6.0,0.0
contig_18072_34,0.0,3.0,0.0,3.0
contig_18139_5,0.0,3.0,0.0,0.0
contig_18072_35,0.0,3.0,0.0,1.0
contig_18060_59,0.0,4.0,1.0,2.0
contig_18060_58,1.0,3.0,0.0,1.0
contig_18060_55,0.0,0.0,0.0,0.0
contig_18060_54,0.0,0.0,0.0,0.0
contig_18060_57,0.0,3.0,0.0,1.0
contig_18060_56,0.0,0.0,0.0,0.0
contig_18060_51,0.0,3.0,4.0,4.0
contig_18060_50,0.0,3.0,0.0,0.0
contig_18060_53,0.0,2.0,5.0,3.0
contig_18060_52,1.0,3.0,2.0,4.0
contig_18072_38,0.0,3.0,3.0,0.0
contig_18072_39,0.0,3.0,4.0,0.0
contig_18146_14,0.0,1.0,0.0,0.0
contig_18146_12,0.0,0.0,0.0,0.0
contig_18146_13,0.0,0.0,0.0,0.0
contig_18146_10,0.0,0.0,0.0,0.0
contig_18099_5,0.0,1.0,0.0,0.0
contig_18146_11,0.0,0.0,0.0,0.0
contig_18072_41,0.0,5.0,14.0,0.0
contig_18072_40,0.0,3.0,2.0,0.0
contig_18072_43,0.0,3.0,0.0,0.0
contig_18072_42,0.0,2.0,2.0,1.0
contig_18072_45,0.0,2.0,0.0,0.0
contig_18072_44,0.0,3.0,0.0,2.0
contig_18224_3,0.0,1.0,1.0,0.0
contig_18224_2,5.0,3.0,1.0,0.0
contig_18224_1,13.0,6.0,6.0,0.0
contig_18247_3,0.0,0.0,0.0,0.0
contig_18224_5,0.0,2.0,2.0,0.0
contig_18099_4,0.0,3.0,0.0,0.0
contig_18098_2,0.0,3.0,0.0,0.0
contig_18248_1,0.0,3.0,0.0,0.0
contig_18099_7,0.0,2.0,0.0,0.0
contig_18248_2,0.0,6.0,0.0,0.0
contig_18229_2,0.0,3.0,1.0,0.0
contig_18229_1,0.0,2.0,0.0,0.0
contig_18099_6,0.0,2.0,0.0,0.0
contig_18099_1,0.0,2.0,0.0,0.0
contig_18069_50,0.0,0.0,0.0,0.0
contig_18069_51,0.0,2.0,0.0,0.0
contig_18223_1,0.0,3.0,0.0,0.0
contig_18096_20,0.0,0.0,0.0,0.0
contig_18223_3,0.0,2.0,0.0,0.0
contig_18223_4,0.0,1.0,0.0,0.0
contig_18223_5,0.0,1.0,0.0,0.0
contig_18223_6,0.0,0.0,0.0,0.0
contig_18076_16,0.0,0.0,0.0,0.0
contig_18099_3,0.0,2.0,0.0,0.0
contig_18112_19,0.0,0.0,0.0,0.0
contig_18112_18,0.0,0.0,0.0,0.0
contig_18112_17,0.0,0.0,0.0,0.0
contig_18112_16,0.0,0.0,0.0,0.0
contig_18112_15,0.0,1.0,0.0,0.0
contig_18112_14,0.0,0.0,0.0,0.0
contig_18112_13,0.0,0.0,0.0,0.0
contig_18112_12,0.0,2.0,0.0,0.0
contig_18112_11,0.0,2.0,0.0,0.0
contig_18112_10,0.0,2.0,0.0,0.0
contig_18068_42,0.0,0.0,0.0,0.0
contig_18068_43,0.0,0.0,0.0,0.0
contig_18068_41,0.0,0.0,0.0,0.0
contig_18068_46,0.0,0.0,0.0,0.0
contig_18257_3,1.0,2.0,1.0,0.0
contig_18068_47,0.0,0.0,0.0,0.0
contig_18257_2,0.0,2.0,2.0,0.0
contig_18068_44,0.0,0.0,0.0,0.0
contig_18068_45,0.0,0.0,0.0,0.0
contig_18114_20,1.0,3.0,0.0,2.0
contig_18114_21,1.0,4.0,0.0,2.0
contig_18081_2,0.0,3.0,7.0,0.0
contig_18156_5,0.0,3.0,0.0,1.0
contig_18098_9,0.0,0.0,0.0,0.0
contig_18144_12,0.0,3.0,0.0,0.0
contig_18144_13,1.0,2.0,0.0,0.0
contig_18136_6,0.0,2.0,0.0,0.0
contig_18081_3,0.0,3.0,1.0,6.0
contig_18143_11,0.0,2.0,0.0,2.0
contig_18081_31,6.0,3.0,0.0,2.0
contig_18143_12,5.0,2.0,0.0,1.0
contig_18096_23,0.0,0.0,0.0,0.0
contig_18119_23,0.0,5.0,1.0,0.0
contig_18119_22,0.0,2.0,0.0,0.0
contig_18119_21,0.0,1.0,0.0,0.0
contig_18119_20,0.0,0.0,0.0,0.0
contig_18119_24,0.0,3.0,0.0,4.0
contig_18081_1,0.0,3.0,6.0,0.0
contig_18066_40,0.0,1.0,0.0,0.0
contig_18066_41,0.0,0.0,0.0,0.0
contig_18058_87,0.0,3.0,3.0,5.0
