,0,1,2
contig_18723_1,1.0,1.0,1.0
contig_18608_8,1.0,1.0,1.0
contig_18723_3,1.0,1.0,1.0
contig_18723_2,1.0,1.0,1.0
contig_18723_5,1.0,1.0,1.0
contig_18723_4,1.0,1.0,1.0
contig_18599_28,0.0,1.0,1.0
contig_18608_1,1.0,1.0,1.0
contig_18599_26,1.0,1.0,0.0
contig_18608_3,1.0,1.0,1.0
contig_18608_2,1.0,1.0,1.0
contig_18608_5,1.0,1.0,1.0
contig_18608_4,1.0,1.0,1.0
contig_18608_7,1.0,0.0,1.0
contig_18608_6,1.0,1.0,1.0
contig_18631_19,1.0,1.0,1.0
contig_18631_18,1.0,1.0,1.0
contig_18606_9,1.0,1.0,1.0
contig_18606_8,1.0,1.0,1.0
contig_18643_6,1.0,1.0,1.0
contig_18643_7,1.0,1.0,1.0
contig_18643_4,1.0,1.0,1.0
contig_18643_5,1.0,1.0,1.0
contig_18631_11,1.0,1.0,1.0
contig_18606_2,1.0,1.0,1.0
contig_18606_1,1.0,1.0,1.0
contig_18631_12,1.0,0.0,1.0
contig_18631_15,1.0,1.0,1.0
contig_18606_6,1.0,1.0,1.0
contig_18631_17,1.0,1.0,1.0
contig_18606_4,1.0,1.0,1.0
contig_18620_20,1.0,1.0,1.0
contig_18579_54,1.0,1.0,1.0
contig_18579_55,1.0,1.0,1.0
contig_18579_56,1.0,1.0,1.0
contig_18579_57,1.0,1.0,1.0
contig_18649_8,1.0,1.0,1.0
contig_18649_9,1.0,1.0,1.0
contig_18579_52,1.0,1.0,1.0
contig_18579_53,1.0,1.0,1.0
contig_18649_4,1.0,1.0,1.0
contig_18649_5,1.0,1.0,1.0
contig_18649_6,1.0,1.0,1.0
contig_18649_7,1.0,1.0,1.0
contig_18579_58,1.0,1.0,1.0
contig_18649_1,1.0,1.0,1.0
contig_18649_2,1.0,0.0,1.0
contig_18649_3,1.0,1.0,1.0
contig_18639_10,1.0,1.0,1.0
contig_18577_58,1.0,1.0,1.0
contig_18577_59,1.0,1.0,1.0
contig_18577_56,1.0,1.0,1.0
contig_18577_57,1.0,1.0,1.0
contig_18577_54,1.0,1.0,1.0
contig_18577_55,1.0,1.0,1.0
contig_18577_52,1.0,0.0,1.0
contig_18577_53,1.0,1.0,1.0
contig_18577_50,1.0,1.0,1.0
contig_18577_51,1.0,1.0,1.0
contig_18691_8,1.0,1.0,1.0
contig_18691_3,1.0,1.0,1.0
contig_18691_2,1.0,1.0,1.0
contig_18691_1,1.0,1.0,1.0
contig_18691_7,1.0,1.0,1.0
contig_18691_6,1.0,1.0,1.0
contig_18691_5,1.0,1.0,1.0
contig_18691_4,1.0,1.0,1.0
contig_18693_5,1.0,1.0,1.0
contig_18693_4,1.0,1.0,1.0
contig_18693_6,1.0,1.0,1.0
contig_18693_1,1.0,1.0,1.0
contig_18693_3,1.0,1.0,1.0
contig_18693_2,1.0,1.0,1.0
contig_18578_39,1.0,0.0,1.0
contig_18578_38,1.0,1.0,1.0
contig_18578_35,1.0,0.0,1.0
contig_18578_34,1.0,1.0,1.0
contig_18578_37,1.0,0.0,1.0
contig_18578_36,1.0,0.0,1.0
contig_18578_31,1.0,1.0,1.0
contig_18578_30,1.0,1.0,1.0
contig_18578_33,1.0,1.0,1.0
contig_18578_32,1.0,0.0,1.0
contig_18638_12,1.0,1.0,1.0
contig_18638_13,1.0,1.0,1.0
contig_18638_10,1.0,1.0,1.0
contig_18638_11,1.0,1.0,1.0
contig_18699_3,1.0,1.0,1.0
contig_18699_2,1.0,1.0,1.0
contig_18699_1,1.0,1.0,1.0
contig_18699_4,1.0,1.0,1.0
contig_18728_2,1.0,1.0,1.0
contig_18728_3,1.0,1.0,1.0
contig_18728_1,1.0,0.0,1.0
contig_18614_17,1.0,1.0,1.0
contig_18696_10,1.0,1.0,1.0
contig_18724_2,1.0,0.0,1.0
contig_18724_3,1.0,0.0,1.0
contig_18724_1,1.0,0.0,1.0
contig_18724_4,1.0,1.0,1.0
contig_18668_11,1.0,1.0,1.0
contig_18668_10,1.0,1.0,1.0
contig_18696_8,1.0,1.0,1.0
contig_18696_9,1.0,1.0,1.0
contig_18696_2,1.0,1.0,0.0
contig_18696_3,1.0,1.0,1.0
contig_18696_4,1.0,0.0,1.0
contig_18696_5,1.0,1.0,0.0
contig_18696_6,1.0,1.0,1.0
contig_18696_7,1.0,1.0,1.0
contig_18662_10,1.0,1.0,1.0
contig_18692_4,1.0,1.0,1.0
contig_18692_5,1.0,1.0,1.0
contig_18692_6,1.0,0.0,1.0
contig_18692_7,1.0,0.0,1.0
contig_18692_1,1.0,1.0,1.0
contig_18692_2,1.0,1.0,1.0
contig_18692_3,1.0,1.0,1.0
contig_18692_8,1.0,1.0,1.0
contig_18694_6,0.0,1.0,1.0
contig_18694_7,1.0,1.0,1.0
contig_18694_4,0.0,1.0,1.0
contig_18694_5,1.0,0.0,1.0
contig_18694_2,1.0,1.0,1.0
contig_18694_3,1.0,1.0,1.0
