,0,1,2,3,4,5,6
contig_21694_6,1.0,2.0,1.0,0.0,0.0,0.0,0.0
contig_21694_7,0.0,4.0,0.0,1.0,5.0,1.0,0.0
contig_21694_4,1.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21694_5,0.0,2.0,0.0,0.0,0.0,1.0,0.0
contig_21694_2,0.0,2.0,0.0,0.0,1.0,1.0,0.0
contig_21694_3,0.0,0.0,0.0,0.0,0.0,1.0,1.0
contig_21694_1,1.0,0.0,0.0,0.0,3.0,0.0,2.0
contig_21694_8,0.0,0.0,0.0,1.0,1.0,1.0,0.0
contig_21718_9,7.0,0.0,11.0,0.0,0.0,2.0,0.0
contig_21718_8,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21718_7,0.0,0.0,1.0,0.0,0.0,1.0,0.0
contig_21718_6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21718_5,0.0,1.0,1.0,0.0,0.0,1.0,1.0
contig_21718_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21718_3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21718_2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21718_1,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_21614_1,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_22126_3,0.0,1.0,0.0,1.0,0.0,0.0,0.0
contig_22126_2,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_22126_1,0.0,0.0,1.0,1.0,0.0,0.0,0.0
contig_22126_4,0.0,2.0,0.0,1.0,0.0,0.0,0.0
contig_21796_5,0.0,1.0,1.0,0.0,0.0,0.0,0.0
contig_21796_4,0.0,5.0,0.0,1.0,1.0,1.0,1.0
contig_21887_2,0.0,3.0,0.0,1.0,0.0,1.0,0.0
contig_21887_3,0.0,1.0,0.0,0.0,0.0,1.0,2.0
contig_21796_1,0.0,7.0,4.0,0.0,1.0,0.0,1.0
contig_21796_3,0.0,2.0,0.0,1.0,0.0,1.0,1.0
contig_21796_2,0.0,6.0,1.0,1.0,0.0,1.0,0.0
contig_22142_1,1.0,0.0,0.0,1.0,5.0,0.0,4.0
contig_21616_2,1.0,0.0,1.0,1.0,1.0,0.0,9.0
contig_21616_3,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_21616_4,0.0,3.0,0.0,0.0,0.0,1.0,0.0
contig_21616_5,2.0,0.0,0.0,0.0,0.0,1.0,1.0
contig_21616_6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
