,0,1
contig_19998_2,0.0,0.0
contig_19998_3,0.0,0.0
contig_19998_1,0.0,0.0
contig_19993_1,0.0,0.0
contig_19993_3,0.0,0.0
contig_19993_2,0.0,0.0
contig_19993_5,0.0,0.0
contig_19993_4,0.0,1.0
contig_19993_7,0.0,0.0
contig_19993_6,0.0,0.0
contig_19993_9,0.0,0.0
contig_19993_8,0.0,0.0
contig_19951_13,0.0,1.0
contig_19951_12,0.0,1.0
contig_19951_11,0.0,1.0
contig_19951_10,7.0,1.0
contig_19951_15,0.0,0.0
contig_19951_14,0.0,0.0
contig_20032_3,0.0,0.0
contig_20032_2,0.0,1.0
contig_20060_6,0.0,0.0
contig_20193_2,0.0,1.0
contig_20209_4,1.0,0.0
contig_20193_5,4.0,2.0
contig_20004_10,0.0,1.0
contig_20300_3,0.0,1.0
contig_20300_2,0.0,1.0
contig_20300_1,0.0,1.0
contig_20142_2,2.0,1.0
contig_20001_4,0.0,1.0
contig_20390_2,1.0,1.0
contig_20390_3,0.0,0.0
contig_20302_1,1.0,1.0
contig_20060_4,0.0,0.0
contig_20302_2,0.0,1.0
contig_20193_4,0.0,1.0
contig_19991_8,0.0,0.0
contig_19991_7,0.0,0.0
contig_19991_6,0.0,0.0
contig_19991_5,0.0,0.0
contig_19991_4,0.0,0.0
contig_19991_3,2.0,0.0
contig_19991_2,0.0,0.0
contig_19991_1,0.0,0.0
contig_19955_10,0.0,1.0
contig_20308_2,3.0,1.0
contig_20308_1,0.0,0.0
contig_20347_1,1.0,1.0
contig_20347_2,3.0,1.0
contig_20347_3,4.0,1.0
contig_20249_4,0.0,0.0
contig_20341_2,0.0,1.0
contig_20030_3,0.0,0.0
contig_20341_1,2.0,1.0
contig_20030_2,0.0,0.0
contig_20030_5,0.0,0.0
contig_20249_3,0.0,0.0
contig_20396_1,1.0,0.0
contig_20386_1,0.0,1.0
contig_20307_1,1.0,1.0
contig_20386_3,0.0,1.0
contig_20386_2,0.0,1.0
contig_20267_3,0.0,1.0
contig_20388_2,1.0,1.0
contig_20388_1,12.0,1.0
contig_20023_1,0.0,0.0
contig_20316_3,0.0,1.0
contig_20053_1,0.0,1.0
contig_20248_1,2.0,1.0
contig_20048_1,1.0,0.0
contig_20048_2,3.0,1.0
contig_20048_3,3.0,1.0
contig_20048_4,1.0,1.0
contig_20053_3,0.0,1.0
contig_20046_2,0.0,0.0
contig_20046_3,0.0,0.0
contig_20046_1,4.0,1.0
contig_20046_6,0.0,0.0
contig_20046_4,0.0,0.0
contig_20046_5,0.0,0.0
contig_20348_4,0.0,1.0
contig_20348_3,0.0,1.0
contig_20348_2,4.0,1.0
contig_20348_1,20.0,0.0
contig_20303_4,0.0,0.0
contig_20303_1,0.0,0.0
contig_20303_2,0.0,0.0
contig_20303_3,0.0,0.0
contig_20028_6,2.0,1.0
contig_20305_4,0.0,0.0
contig_20305_2,0.0,1.0
contig_20305_3,0.0,1.0
contig_20305_1,3.0,1.0
contig_20089_5,0.0,1.0
contig_20089_4,0.0,1.0
contig_19978_6,0.0,0.0
contig_19978_7,0.0,0.0
contig_20089_1,0.0,1.0
contig_19978_1,0.0,0.0
contig_20089_3,0.0,1.0
contig_20089_2,0.0,1.0
contig_20223_3,0.0,1.0
contig_20223_2,0.0,1.0
contig_20223_1,0.0,1.0
contig_19978_8,0.0,0.0
contig_19978_9,0.0,0.0
contig_20221_1,0.0,1.0
contig_20221_2,0.0,1.0
contig_20342_1,2.0,1.0
contig_20342_3,5.0,1.0
contig_20342_2,1.0,2.0
contig_20041_1,0.0,1.0
contig_20041_3,0.0,1.0
contig_20041_2,0.0,1.0
